Events/frame: [16384, 16384, 16384, 16384] | Total: 65536 | Rate: 9 kEv/s (Δ 7203 ms)
Locked hwsem at init
USB ready
Waiting for HE core to lock sem 0 
HWSEOM 0 now locked by HE core
Events/frame: [15974, 15972, 15972, 15973] | Total: 63891 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15973, 15971, 15972] | Total: 63888 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15972, 15973] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15978, 15972, 15973, 15973] | Total: 63896 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15968] | Total: 63886 | Rate: 1277 kEv/s (Δ 50 ms)
Events/frame: [15314, 15583, 15776, 15989] | Total: 62662 | Rate: 1160 kEv/s (Δ 54 ms)
Events/frame: [15980, 15972, 15973, 15972] | Total: 63897 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1726 kEv/s (Δ 37 ms)
Events/frame: [15529, 15819, 15923, 15901] | Total: 63172 | Rate: 1052 kEv/s (Δ 60 ms)
Events/frame: [15987, 15972, 15967, 15978] | Total: 63904 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15962] | Total: 63879 | Rate: 1359 kEv/s (Δ 47 ms)
Events/frame: [15827, 15940, 16000, 15972] | Total: 63739 | Rate: 1677 kEv/s (Δ 38 ms)
Events/frame: [15992, 15973, 15972, 15972] | Total: 63909 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15973] | Total: 63890 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15981, 15973, 15972, 15972] | Total: 63898 | Rate: 1774 kEv/s (Δ 36 ms)
Events/frame: [15997, 15973, 15972, 15972] | Total: 63914 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
